Typ;Kategorie;Artikelname (ZOZO);Größe;Preis;UID (wird gesendet);ExpertOrder Artikel-ID (leer lassen - im Kassensystem mappen!)
Produkt;Pizza;Hawaii;Large;13.19;HAWAII_LARGE;
Produkt;Pizza;Houston;Medium;12.99;HOUSTON_MEDIUM;
Produkt;Pizza;Houston;Large;15.89;HOUSTON_LARGE;
Produkt;Pizza;Kentucky;Medium;10.39;KENTUCKY_MEDIUM;
Produkt;Pizza;Kentucky;Large;13.69;KENTUCKY_LARGE;
Produkt;Pizza;L.A.;Medium;8.59;L.A._MEDIUM;
Produkt;Pizza;L.A.;Large;11.89;L.A._LARGE;
Produkt;Pizza;Las Vegas;Medium;8.59;LAS_VEGAS_MEDIUM;
Produkt;Pizza;Las Vegas;Large;11.89;LAS_VEGAS_LARGE;
Produkt;Pizza;Little Italy;Medium;12.59;LITTLE_ITALY_MEDIUM;
Produkt;Pizza;Little Italy;Large;15.89;LITTLE_ITALY_LARGE;
Produkt;Pizza;Margherita;Medium;7.49;MARGHERITA_MEDIUM;
Produkt;Pizza;Margherita;Large;9.79;MARGHERITA_LARGE;
Produkt;Pizza;New York;Medium;10.39;NEW_YORK_MEDIUM;
Produkt;Pizza;New York;Large;13.69;NEW_YORK_LARGE;
Produkt;Pizza;San Francisco;Medium;11.99;SAN_FRANCISCO_MEDIUM;
Produkt;Pizza;San Francisco;Large;14.89;SAN_FRANCISCO_LARGE;
Produkt;Pizza;São Paulo;Medium;12.39;SÃO_PAULO_MEDIUM;
Produkt;Pizza;São Paulo;Large;15.79;SÃO_PAULO_LARGE;
Produkt;Pizza;Toronto;Medium;10.39;TORONTO_MEDIUM;
Produkt;Pizza;Toronto;Large;13.69;TORONTO_LARGE;
Produkt;Pizza;ZOZO Special;Medium;13.69;ZOZO_SPECIAL_MEDIUM;
Produkt;Pizza;ZOZO Special;Large;16.99;ZOZO_SPECIAL_LARGE;
Produkt;Pizzabrötchen;6 Pizzabrötchen;Normal;6.49;6_PIZZABRÖTCHEN;
Produkt;Pizzabrötchen;6 Pizzabrötchen mit Käse;Normal;6.99;6_PIZZABRÖTCHEN_MIT_KÄSE;
Produkt;Pizzabrötchen;PB Chicken;Normal;7.49;PB_CHICKEN;
Produkt;Pizzabrötchen;PB Ham;Normal;6.99;PB_HAM;
Produkt;Pizzabrötchen;PB Salami;Normal;6.99;PB_SALAMI;
Produkt;Pizzabrötchen;PB Sucuk;Normal;7.49;PB_SUCUK;
Produkt;Pizzabrötchen;PB Tom-Moz;Normal;7.49;PB_TOM-MOZ;
Produkt;Smash Burger;Smash Bacon;Normal;13.9;SMASH_BACON;
Produkt;Smash Burger;Smash Cheese;Normal;12.99;SMASH_CHEESE;
Produkt;Smash Burger;Smash Chili Cheese;Normal;13.9;SMASH_CHILI_CHEESE;
Produkt;Smash Burger;Smash Klassik;Normal;10.9;SMASH_KLASSIK;
Produkt;Vorspeisen & Salate;Caesar Salad;Normal;9.19;CAESAR_SALAD;
Produkt;Vorspeisen & Salate;Chicken Salad;Normal;11.79;CHICKEN_SALAD;
Produkt;Vorspeisen & Salate;Greek Salad;Normal;11.79;GREEK_SALAD;
Produkt;Vorspeisen & Salate;Italy Salad;Normal;11.79;ITALY_SALAD;
Produkt;Vorspeisen & Salate;Mix Salad;Normal;7.99;MIX_SALAD;
Produkt;Vorspeisen & Salate;Pure Burger Salad;Normal;11.79;PURE_BURGER_SALAD;
Produkt;Vorspeisen & Salate;Tomato Soup;Normal;6.1;TOMATO_SOUP;
Produkt;Wraps;BBQ-Beef Wrap;Normal;8.29;BBQ-BEEF_WRAP;
Produkt;Wraps;Crunchy Chicken Wrap;Normal;7.19;CRUNCHY_CHICKEN_WRAP;
Produkt;Wraps;Spicy Chicken Wrap;Normal;7.19;SPICY_CHICKEN_WRAP;
Produkt;Wraps;Veggie Wrap;Normal;6.69;VEGGIE_WRAP;
Modifier;Unbekannt;Mit 3 Pizzabrötchen (gratis);-;0;PIZZABROETCHEN-ADDON-MIT-3-PIZZABROETCHEN-1;
Modifier;Unbekannt;Ohne Pizzabrötchen;-;0;PIZZABROETCHEN-ADDON-OHNE-PIZZABROETCHEN-2;
Modifier;Unbekannt;American Dressing;-;0;SALAD-DRESSING-AMERICAN-DRESSING-1;
Modifier;Unbekannt;Joghurt-Dressing;-;0;SALAD-DRESSING-JOGHURT-DRESSING-2;
Modifier;Unbekannt;French-Dressing;-;0;SALAD-DRESSING-FRENCH-DRESSING-3;
Modifier;Unbekannt;Penne;-;0;PASTA-TYPE-PENNE-1;
Modifier;Unbekannt;Spaghetti;-;0;PASTA-TYPE-SPAGHETTI-2;
Modifier;Unbekannt;Tagliatelle;-;0;PASTA-TYPE-TAGLIATELLE-3;
Modifier;Welches Dressing möchtest du?;Hausdressing;-;0;SALAD-DRESSING-REQUIRED-HAUSDRESSING-1;
Modifier;Welches Dressing möchtest du?;Joghurtdressing;-;0;SALAD-DRESSING-REQUIRED-JOGHURTDRESSING-2;
Modifier;Welches Dressing möchtest du?;Frenchdressing;-;0;SALAD-DRESSING-REQUIRED-FRENCHDRESSING-3;
Modifier;3 Pizzabrötchen dazu?;Ohne Pizzabrötchen;-;0.0;PIZZABROETCHEN-UPSELL-OHNE-PIZZABROETCHEN-1;
Modifier;3 Pizzabrötchen dazu?;Mit 3 Pizzabrötchen (gratis);-;0.0;PIZZABROETCHEN-UPSELL-MIT-3-PIZZABROETCHEN-2;
Modifier;3 Pizzabrötchen gratis dazu?;Mit 3 Pizzabrötchen (gratis);-;0;SALAD-PIZZABROETCHEN-FREE-CHOICE-MIT-3-PIZZABROETCHEN-1;
Modifier;3 Pizzabrötchen gratis dazu?;Ohne Pizzabrötchen;-;0;SALAD-PIZZABROETCHEN-FREE-CHOICE-OHNE-PIZZABROETCHEN-2;
Modifier;Auswahl 1 (5 Stück);Mozzarella Sticks (5 Stück);-;0;FINGERFOOD-MOZZARELLA-5;
Modifier;Auswahl 1 (5 Stück);Chili Cheese Nuggets (5 Stück);-;0;FINGERFOOD-CHILI-CHEESE-5;
Modifier;Auswahl 1 (5 Stück);Chicken Nuggets (5 Stück);-;0;FINGERFOOD-CHICKEN-NUGGETS-5;
Modifier;Auswahl 1 (5 Stück);Spicy Chicken Stripes (5 Stück);-;0;FINGERFOOD-SPICY-STRIPES-5;
Modifier;Auswahl 1 (5 Stück);Onion Rings (5 Stück);-;0;FINGERFOOD-ONION-RINGS-5;
Modifier;Auswahl 2 (5 Stück);Mozzarella Sticks (5 Stück);-;0;FINGERFOOD-MOZZARELLA-5;
Modifier;Auswahl 2 (5 Stück);Chili Cheese Nuggets (5 Stück);-;0;FINGERFOOD-CHILI-CHEESE-5;
Modifier;Auswahl 2 (5 Stück);Chicken Nuggets (5 Stück);-;0;FINGERFOOD-CHICKEN-NUGGETS-5;
Modifier;Auswahl 2 (5 Stück);Spicy Chicken Stripes (5 Stück);-;0;FINGERFOOD-SPICY-STRIPES-5;
Modifier;Auswahl 2 (5 Stück);Onion Rings (5 Stück);-;0;FINGERFOOD-ONION-RINGS-5;
Modifier;Auswahl 3 (5 Stück);Mozzarella Sticks (5 Stück);-;0;FINGERFOOD-MOZZARELLA-5;
Modifier;Auswahl 3 (5 Stück);Chili Cheese Nuggets (5 Stück);-;0;FINGERFOOD-CHILI-CHEESE-5;
Modifier;Auswahl 3 (5 Stück);Chicken Nuggets (5 Stück);-;0;FINGERFOOD-CHICKEN-NUGGETS-5;
Modifier;Auswahl 3 (5 Stück);Spicy Chicken Stripes (5 Stück);-;0;FINGERFOOD-SPICY-STRIPES-5;
Modifier;Auswahl 3 (5 Stück);Onion Rings (5 Stück);-;0;FINGERFOOD-ONION-RINGS-5;
Modifier;Dip 1;BBQ Sauce;-;0;DIP-BBQ;
Modifier;Dip 1;Sweet Chili Sauce;-;0;DIP-SWEET-CHILI;
Modifier;Dip 1;Knoblauch Sauce;-;0;DIP-KNOBLAUCH;
Modifier;Dip 1;Chili Sauce;-;0;DIP-CHILI;
Modifier;Dip 1;Curry Sauce;-;0;DIP-CURRY;
Modifier;Dip 1;Sweet & Sour Sauce;-;0;DIP-SWEET-SOUR;
Modifier;Dip 2;BBQ Sauce;-;0;DIP-BBQ;
Modifier;Dip 2;Sweet Chili Sauce;-;0;DIP-SWEET-CHILI;
Modifier;Dip 2;Knoblauch Sauce;-;0;DIP-KNOBLAUCH;
Modifier;Dip 2;Chili Sauce;-;0;DIP-CHILI;
Modifier;Dip 2;Curry Sauce;-;0;DIP-CURRY;
Modifier;Dip 2;Sweet & Sour Sauce;-;0;DIP-SWEET-SOUR;
Modifier;Beilage;Pommes Normal;-;0.0;SIDES_FRIES_NORMAL;
Modifier;Beilage;Pommes Groß;-;1.0;SIDES_FRIES_LARGE;
Modifier;Beilage;Süßkartoffel Pommes;-;1.5;SIDES_SWEET_POTATO;
Modifier;Beilage;Curly Fries;-;1.5;SIDES_CURLY_FRIES;
Modifier;Getränk;Coca Cola 0,5l;-;0.0;DRINK_COLA_05;
Modifier;Getränk;Coca Cola Zero 0,5l;-;0.0;DRINK_COLA_ZERO_05;
Modifier;Getränk;Fanta 0,5l;-;0.0;DRINK_FANTA_05;
Modifier;Getränk;Mezzo Mix 0,5l;-;0.0;DRINK_MEZZO_05;
Modifier;Getränk;Sprite 0,5l;-;0.0;DRINK_SPRITE_05;
Modifier;Getränk;Fuze Tea Pfirsich 0,5l;-;0.0;DRINK_FUZETEA_PEACH_05;
Modifier;Getränk;Fuze Tea Zitrone 0,5l;-;0.0;DRINK_FUZETEA_LEMON_05;
Modifier;Getränk;ViO Still 0,5l;-;0.0;DRINK_VIO_STILL_05;
Modifier;Getränk;ViO Medium 0,5l;-;0.0;DRINK_VIO_MEDIUM_05;
Modifier;Getränk;ViO Apfelschorle 0,5l;-;0.0;DRINK_VIO_APFEL_05;
Modifier;Getränk;ViO Rhabarberschorle 0,5l;-;0.0;DRINK_VIO_RHABARBER_05;
Modifier;Getränk;ViO Johannisbeerschorle 0,5l;-;0.0;DRINK_VIO_JOHANNISBEER_05;
Modifier;Getränk;Upgrade auf 1,0l;-;1.5;DRINK_UPGRADE_1L;
Modifier;Dip inklusive;Ketchup;-;0.0;DIP_KETCHUP;
Modifier;Dip inklusive;Mayonnaise;-;0.0;DIP_MAYO;
Modifier;Dip inklusive;BBQ Sauce;-;0.0;DIP_BBQ;
Modifier;Dip inklusive;Sweet Chili;-;0.0;DIP_SWEET_CHILI;
Modifier;Dip inklusive;Knoblauch Sauce;-;0.0;DIP_GARLIC;
Modifier;Dip inklusive;Curry Sauce;-;0.0;DIP_CURRY;
